id;name;github_url;original_code;resurrected_code;is_validated
1;advancement;gloom where;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true
2;gadzooks in;acquire;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true
3;for aha;proofread;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true
4;stable;reboot however;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true
5;given;strange huzzah guard;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true
6;possible engender shrilly;though beret gosh;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true
7;trustworthy inspection unlike;jellyfish;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true
8;gee;victoriously gape exploration;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false
9;for;gosh whether;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true
10;homely;swordfish absolve typeface;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true
